Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description,Manufacture Part Number 1
H3,2x15,BottomLayer,HDR_2x15_1.27mm,"2,039,761","2,337,205",180,"CONN, Header, 2x15, TH, 1.27mm",
H5,2x15,BottomLayer,HDR_2x15_1.27mm,"2,132,284","615,551",180,"CONN, Header, 2x15, TH, 1.27mm",
H4,2x15,BottomLayer,HDR_2x15_1.27mm,"2,414,764","1,846,850",270,"CONN, Header, 2x15, TH, 1.27mm",
H1,2x30,BottomLayer,HDR_2x30_1.27mm,"734,841","1,471,850",270,"CONN, Header, 2x30, TH, 1.27mm",
FB7,300R,BottomLayer,FB_0402-NIC,"1,354,329","1,133,858",270,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",BLM18KG331SN1D
FB6,300R,BottomLayer,FB_0402-NIC,"1,409,447","1,003,937",0,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",BLM18KG331SN1D
FB5,300R,BottomLayer,FB_0402-NIC,"2,267,715","1,318,898",270,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",BLM18KG331SN1D
FB4,300R,BottomLayer,FB_0402-NIC,"2,330,707","1,318,898",270,"Ferrite bead,300 ohm@100MHz,0.15 ohm @DC, 1A, 0402",BLM18KG331SN1D
R11,8.06k,TopLayer,R_0402-N,"2,433,071","1,038,293",360,"Resistor, 8.06 kO, 1%, 0.06W, 0402",NRC04F8061TRF
R1,8.06k,TopLayer,R_0402-N,"1,566,929","1,003,937",90,"Resistor, 8.06 kO, 1%, 0.06W, 0402",NRC04F8061TRF
U5,AP2192A,TopLayer,soic_8,"2,067,913","850,197",180,"IC, USB Dual Switch w/ 1.5A Current Limit, SOIC-8",AP2192ASG-13
U4,AP7333-33SAG-7,TopLayer,SOT23_N,"2,433,071","1,266,710",360,"IC, CONV DC/DC LDO 3.3V, 300mA, SOT23-3",AP7333-33SAG-7
R19,BOOT MODE,BottomLayer,3PAD_0402_JMP_1-2,"2,078,739","1,814,961",0,"3-pad, 0402, jumper",
R18,BOOT_0,BottomLayer,3PAD_0402_JMP_1-2,"2,236,220","1,653,543",0,"3-pad, 0402, jumper",
R17,BOOT_1,BottomLayer,3PAD_0402_JMP_1-2,"2,236,220","1,606,299",0,"3-pad, 0402, jumper",
R16,BOOT_2,BottomLayer,3PAD_0402_JMP_1-2,"2,236,220","1,562,992",0,"3-pad, 0402, jumper",
R15,BOOT_3,BottomLayer,3PAD_0402_JMP_1-2,"1,956,691","1,685,039",90,"3-pad, 0402, jumper",
H6,JTAG,TopLayer,JTAG_FTSH-105-01-XXX-D-K,"2,167,913","1,224,409",90,"CONN, Header 2x5, TH, 1.27mm",
PCB,LPC USB Analyzer v0.2,BottomLayer,LOGO-GIO,"0,000","0,000",180,4 Layer Controlled Impedance PCB,
U1,"LPC4357JET256,551",TopLayer,NXP-SOT740-2,"1,437,008","1,673,228",90,"32-bit ARM Cortex-M4 / M0 Microcontroller, 164 I/O, 1024 KB Flash, 136 KB SRAM, -40 to 105 degC, 256-Ball LBGA, Tray, RoHS","LPC4357JET256,551"
J2,micro USB B,TopLayer,10118194,"1,448,819","2,352,362",180,CONN RECEPT MICRO USB RA 5POS SMD,10118194-0001LF
U2,MT48LC16M16A2B4-6A:G,TopLayer,VFBGA54_8x8,"2,098,425","1,673,228",180,"256Mb PC133 SDR SDRAM, 16Mb x 16, 7.5ns, 3.3V, 0 to 70 degC, 54-Ball VFBGA, Pb-Free",MT48LC16M16A2B4-6A:G
D1,PMEG2015EH,TopLayer,SOD123F,"2,308,828","1,375,000",90,"Diode, Schottky Rectifier, 20V, 1.5A, SOT123F","PMEG2015EH,115"
S1,PTS840,TopLayer,SW_PTS840,"2,464,567","893,701",90,"SWITCH SPST RA, 50mA, 24V, SMT",PTS840GKPSMTRLFS
J1,Type A,TopLayer,USB_A_F_SIDE_REVERSE_TH,"956,693","688,976",0,"USB, Type A, Side Insert, Revese PinoutRA",C39452
J3,Type B,TopLayer,USB_B_F_RA_TH,"1,433,071","781,693",0,CONN RCPT USB 2.0 TYPE B R/A 4PS,61729-1011BLF
U3,USB3343-CP-TR,TopLayer,MCHP-QFN-24_A_V,"1,437,008","1,078,740",270,"Enhanced Single Supply Hi-Speed USB ULPI Transceiver, 1.8 to 3.3 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel",USB3343-CP-TR
